id,date,gamedayId,scoreTeamA,scoreTeamB,teamAId,teamBId,winnerId,finished
22,2023-04-28 23:48:12.588,5,0,0,29,18,,t
18,2023-04-28 21:16:25.760,5,3,2,31,16,31,t
6,2023-04-07 22:04:04.494,2,4,0,30,15,30,t
10,2023-04-07 23:20:08.238,3,3,0,38,21,38,t
25,2023-04-29 00:44:49.080,5,7,0,31,15,31,t
3,2023-04-07 20:43:56.832,2,1,2,28,20,20,t
7,2023-04-07 22:17:47.703,2,2,1,30,23,30,t
11,2023-04-07 23:51:24.912,3,0,2,27,16,16,t
19,2023-04-28 21:51:43.640,5,2,1,19,15,19,t
23,2023-04-29 00:06:33.900,5,2,0,30,20,30,t
4,2023-04-07 21:07:11.863,2,0,4,22,28,28,t
8,2023-04-07 22:39:00.408,2,0,0,15,23,,t
20,2023-04-28 23:00:41.601,5,1,0,30,18,30,t
12,2023-04-08 00:03:41.098,3,1,1,18,16,,t
5,2023-04-07 21:31:01.205,2,0,1,22,20,20,t
26,2023-04-29 01:07:35.127,5,0,7,28,19,19,t
9,2023-04-07 22:53:21.364,3,2,1,35,13,35,t
13,2023-04-08 00:17:37.850,3,2,0,18,27,18,t
21,2023-04-28 23:28:56.030,5,4,0,28,16,28,t
24,2023-04-29 00:27:05.391,5,2,1,15,19,15,t
17,2023-04-28 20:46:45.031,5,1,0,29,18,29,t
